unique_id,ds,NHITS
Close,2023-05-04,107.67046164495176
Close,2023-05-05,104.4072947202459
Close,2023-05-08,106.43217750351822
Close,2023-05-09,107.60895031490915
Close,2023-05-10,108.90438101339012
Close,2023-05-11,110.09713841945695
Close,2023-05-12,110.97956633745885
Close,2023-05-15,109.55385793020713
Close,2023-05-16,109.13150579292375
Close,2023-05-17,107.33799512434179
Close,2023-05-18,113.2252779272598
Close,2023-05-19,107.92452535975754
Close,2023-05-22,112.66075423790193
Close,2023-05-23,108.40959582708966
Close,2023-05-24,109.6894464390049
Close,2023-05-25,113.82700331410419
Close,2023-05-26,116.87086159985672
Close,2023-05-29,118.56338877603316
Close,2023-05-30,117.06263759002137
Close,2023-05-31,114.63124372900569
Close,2023-06-01,114.43533131719839
Close,2023-06-02,111.26064727942908
Close,2023-06-05,118.72957636606765
Close,2023-06-06,112.20821405181634
Close,2023-06-07,119.07596579485654
Close,2023-06-08,116.26939718598663
Close,2023-06-09,118.24617612577104
Close,2023-06-12,115.96127944387888
Close,2023-06-13,119.92919083703423
Close,2023-06-14,120.53372168335235
Close,2023-06-15,116.44351835443985
Close,2023-06-16,120.60293171613681
Close,2023-06-19,119.4213635263431
Close,2023-06-20,115.59153293389011
Close,2023-06-21,119.47212276984453
Close,2023-06-22,121.10779698356961
Close,2023-06-23,117.24895924502313
Close,2023-06-26,120.08627047026562
Close,2023-06-27,115.10597966655553
Close,2023-06-28,119.20760056309366
Close,2023-06-29,118.37804576968503
Close,2023-06-30,115.8592912055223
Close,2023-07-03,120.29938100107931
Close,2023-07-04,120.27466686041306
Close,2023-07-05,117.9172979835577
Close,2023-07-06,118.50579204060506
Close,2023-07-07,116.14401272048401
Close,2023-07-10,117.09575506046009
Close,2023-07-11,119.66599959245228
Close,2023-07-12,118.51099845144236
Close,2023-07-13,118.5060791108768
Close,2023-07-14,119.89358107469093
Close,2023-07-17,115.91908011393451
Close,2023-07-18,120.57733026735794
Close,2023-07-19,117.55141387358856
Close,2023-07-20,116.30680766185259
Close,2023-07-21,118.16514401725077
Close,2023-07-24,116.28193693740177
Close,2023-07-25,119.01418044319092
Close,2023-07-26,119.32665643396949
