unique_id,ds,NHITS
Close,2023-07-14,158.13894128130536
Close,2023-07-17,153.27520972700017
Close,2023-07-18,156.42898512076158
Close,2023-07-19,157.72991039859718
Close,2023-07-20,160.420727858652
Close,2023-07-21,161.22866238980149
Close,2023-07-24,162.47425562789965
Close,2023-07-25,159.99534630162466
Close,2023-07-26,159.20715704845918
Close,2023-07-27,156.32789193773067
Close,2023-07-28,165.44519389648903
Close,2023-07-31,156.90398446802382
Close,2023-08-01,163.3568714396764
Close,2023-08-02,157.001202145204
Close,2023-08-03,159.71917643457783
Close,2023-08-04,165.10565809436451
Close,2023-08-07,169.53010907552564
Close,2023-08-08,172.0109231516348
Close,2023-08-09,170.1567717709708
Close,2023-08-10,165.4201304060967
Close,2023-08-11,165.44136553791142
Close,2023-08-14,160.45814393460262
Close,2023-08-15,170.8255464107697
Close,2023-08-16,162.09475779707586
Close,2023-08-17,171.34128100201045
Close,2023-08-18,167.13004884882199
Close,2023-08-21,170.4709800579735
Close,2023-08-22,166.32313269877196
Close,2023-08-23,171.87195184937667
Close,2023-08-24,173.97941609907733
Close,2023-08-25,167.40097593909752
Close,2023-08-28,173.4631534583776
Close,2023-08-29,172.12194555038548
Close,2023-08-30,166.05279023468316
Close,2023-08-31,172.22116227194607
Close,2023-09-01,174.6862102999228
Close,2023-09-04,168.7677942458502
Close,2023-09-05,172.53601176186322
Close,2023-09-06,165.9100660094844
Close,2023-09-07,171.4457593592516
Close,2023-09-08,169.76967379971956
Close,2023-09-11,166.45027946493076
Close,2023-09-12,172.93934725397813
Close,2023-09-13,173.91925617857206
Close,2023-09-14,170.26890684536718
Close,2023-09-15,170.45272463382017
Close,2023-09-18,167.71872970103908
Close,2023-09-19,169.0568447479143
Close,2023-09-20,172.80186580555068
Close,2023-09-21,170.7165419153087
Close,2023-09-22,170.80766816480136
Close,2023-09-25,171.73052888891613
Close,2023-09-26,167.23905334428298
Close,2023-09-27,173.95516354178272
Close,2023-09-28,169.22668808461356
Close,2023-09-29,167.76747998144853
Close,2023-10-02,170.46545439756346
Close,2023-10-03,167.72763110620474
Close,2023-10-04,171.9952702569579
Close,2023-10-05,172.02644403394697
