unique_id,ds,NHITS
Close,2023-07-14,411.2065219255541
Close,2023-07-17,401.55221638255995
Close,2023-07-18,405.49130129681936
Close,2023-07-19,412.8194368735755
Close,2023-07-20,414.8005302966321
Close,2023-07-21,414.37121254524385
Close,2023-07-24,421.12040219988677
Close,2023-07-25,420.39684311716604
Close,2023-07-26,416.68047398010134
Close,2023-07-27,415.7235113937056
Close,2023-07-28,433.7226841548611
Close,2023-07-31,412.19201252032434
Close,2023-08-01,430.29255425648205
Close,2023-08-02,413.47774601591226
Close,2023-08-03,418.5249837396242
Close,2023-08-04,430.6055676202224
Close,2023-08-07,439.6975069193612
Close,2023-08-08,443.451968209779
Close,2023-08-09,445.59113036703747
Close,2023-08-10,431.09750448701476
Close,2023-08-11,431.8089782174846
Close,2023-08-14,419.88964198460553
Close,2023-08-15,446.4096457888722
Close,2023-08-16,427.00511920882934
Close,2023-08-17,452.60460831444095
Close,2023-08-18,437.34768693273213
Close,2023-08-21,444.3394605740524
Close,2023-08-22,438.92640115601637
Close,2023-08-23,454.3919524395073
Close,2023-08-24,450.9724554587549
Close,2023-08-25,440.7556466497711
Close,2023-08-28,454.896741982503
Close,2023-08-29,447.8602717209533
Close,2023-08-30,439.1188898503704
Close,2023-08-31,449.06938243900504
Close,2023-09-01,455.2865151459138
Close,2023-09-04,447.7025866487276
Close,2023-09-05,453.80593617526085
Close,2023-09-06,435.0427279928936
Close,2023-09-07,451.0241950166906
Close,2023-09-08,448.08652266921456
Close,2023-09-11,431.0095362767533
Close,2023-09-12,451.4202711982822
Close,2023-09-13,451.99173571185923
Close,2023-09-14,444.87206561032394
Close,2023-09-15,446.63759581159957
Close,2023-09-18,436.47154000118405
Close,2023-09-19,440.2587221772879
Close,2023-09-20,450.9323627822401
Close,2023-09-21,444.82569732005527
Close,2023-09-22,444.0749530458768
Close,2023-09-25,451.5406588455341
Close,2023-09-26,439.63603878988573
Close,2023-09-27,451.25570761491144
Close,2023-09-28,443.1788556915654
Close,2023-09-29,434.4803069401846
Close,2023-10-02,442.8232010396111
Close,2023-10-03,439.306747196583
Close,2023-10-04,447.394588295105
Close,2023-10-05,445.8712036096768
